Horizon started successfully.
[2021-03-24 08:30:31][20700] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:31][20853] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:32][20858] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:32][20858] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:32][20859] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:32][20859] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:33][20646] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:33][20862] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:33][20862] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:33][20863] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20851] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20866] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20866] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20867] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20847] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20864] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20864] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20865] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20865] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20868] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20868] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20869] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20870] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:34][20870] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:35][20845] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:35][20872] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:35][20872] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:35][20873] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20863] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20871] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:34][20871] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:35][20821] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:35][20874] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:35][20874] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:35][20875] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:36][20867] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:36][20876] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:36][20876] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:36][20877] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:37][20877] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:37][20880] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:37][20880] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:37][20881] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:37][20875] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:37][20882] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:37][20882] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:37][20883] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:37][20883] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:39][20881] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:39][20892] Processing: App\Jobs\SwSyncSourceImageTempJob
